order_id,user_id,product,category,price,quantity,order_date,country,payment_method,rating
O11860,U581,Router,Networking,101.63,4,2023-12-08,Italy,Card,3.0
O10353,U228,Camera,Electronics,1104.69,2,2023-12-07,France,Apple Pay,4.0
O11333,U410,Smartphone,Electronics,1037.9,4,2023-06-15,USA,,1.0
O10905,U372,Mouse,Accessories,1131.14,3,2023-12-17,Poland,Apple Pay,2.0
O11289,U545,Speaker,Electronics,1328.83,2,2023-02-18,UK,Bank Transfer,4.0
O11273,U734,Keyboard,Accessories,675.39,5,2023-05-31,Germany,Bank Transfer,2.0
O10938,U860,Speaker,Electronics,355.25,1,2023-11-17,Italy,Bank Transfer,3.0
O11731,U463,Camera,Electronics,403.91,1,2023-12-31,Poland,PayPal,5.0
O10065,U203,Smartphone,Electronics,396.16,2,2023-09-30,USA,Google Pay,4.0
O11323,U370,Smartwatch,Electronics,533.5,4,2023-09-22,France,Apple Pay,1.0
O10056,U382,Router,Networking,,3,2023-09-21,Canada,Card,3.0
O11292,U796,Keyboard,Accessories,710.98,2,2023-03-21,Poland,Google Pay,4.0
O11118,U869,Headphones,Electronics,855.59,2,2023-04-21,USA,Apple Pay,5.0
O10584,U255,Smartphone,Electronics,1201.6,3,2023-07-14,France,Google Pay,3.0
O10374,U593,Printer,Office,170.1,5,2023-02-21,France,PayPal,2.0
O10275,U562,Headphones,Electronics,1281.25,2,2023-01-09,Poland,Card,4.0
O10746,U921,Router,Networking,1105.56,3,2023-05-08,Poland,Card,4.0
O10128,U204,Smartphone,Electronics,1266.34,5,2023-04-08,USA,Bank Transfer,3.0
O11646,U961,Smartwatch,Electronics,1189.39,4,2023-02-11,USA,Bank Transfer,2.0
O11852,U266,Keyboard,Accessories,196.52,3,2023-03-26,Poland,Bank Transfer,2.0
O10674,U555,Laptop,Electronics,875.88,3,2023-06-30,France,Apple Pay,4.0
O11664,U946,Router,Networking,848.5,4,2023-09-02,UK,Apple Pay,2.0
O10161,U376,Smartwatch,Electronics,1401.86,5,2023-05-30,Spain,Apple Pay,2.0
O11083,U543,Printer,Office,841.0,2,2023-11-11,Germany,Bank Transfer,2.0
O11922,U982,Monitor,Electronics,1269.72,2,2023-08-19,Spain,Apple Pay,1.0
O10099,U605,Headphones,Electronics,1436.07,4,2023-12-05,Italy,Google Pay,4.0
O11179,U581,Smartphone,Electronics,,3,2023-02-26,Poland,Bank Transfer,5.0
O10964,U614,Smartphone,Electronics,1179.28,3,2023-09-08,UK,Apple Pay,
O10792,U338,Camera,Electronics,633.48,1,2023-10-12,Italy,Google Pay,4.0
O10029,U895,Smartphone,Electronics,1216.02,1,2023-05-14,Italy,Bank Transfer,5.0
O10628,U549,Camera,Electronics,378.5,4,2023-11-18,USA,Bank Transfer,4.0
O10944,U125,Laptop,Electronics,1401.95,1,2023-08-05,Canada,Card,5.0
O10572,U772,Printer,Office,1036.15,2,2023-11-20,USA,Apple Pay,3.0
O10907,U592,Monitor,Electronics,593.24,2,2023-04-12,France,Apple Pay,5.0
O11080,U111,Smartphone,Electronics,1266.4,1,2023-11-02,Poland,Bank Transfer,
O10450,U764,Speaker,Electronics,184.0,2,2023-07-02,France,Card,3.0
O11609,U805,Mouse,Accessories,759.53,3,2023-12-25,,Card,4.0
O11290,U935,Speaker,Electronics,640.62,1,2023-02-28,Italy,Google Pay,3.0
O11078,U114,Keyboard,Accessories,401.99,5,2023-11-23,Canada,Bank Transfer,4.0
O10254,U463,Smartphone,Electronics,1050.51,2,2023-07-02,Poland,Bank Transfer,3.0
O10124,U549,Router,Networking,1425.7,5,2023-10-30,Poland,Google Pay,1.0
O11927,U834,Keyboard,Accessories,160.68,4,2023-04-24,Poland,Bank Transfer,2.0
O10251,U576,Mouse,Accessories,190.62,3,2023-08-03,Canada,,3.0
O10585,U771,Tablet,Electronics,1143.84,3,2023-02-17,Canada,Bank Transfer,3.0
O11568,U456,Smartwatch,Electronics,108.96,2,2023-05-20,Germany,Google Pay,2.0
O10824,U569,Monitor,Electronics,1165.97,2,2023-09-02,Italy,Google Pay,4.0
O10507,U754,Smartwatch,Electronics,826.37,4,2023-08-02,USA,Apple Pay,2.0
O10889,U305,Keyboard,Accessories,873.39,1,2023-01-06,Italy,Card,2.0
O10070,U797,Headphones,Electronics,668.94,3,2023-06-02,UK,Bank Transfer,3.0
